100 13
800 132,2
1500 308,666666666667
2200 417,066666666667 
2900 611,666666666667
3600 671,266666666667
4300 824,4
5000 1032,53333333333
5700 1163,93333333333
6400 1071,06666666667
7100 1189,06666666667
7800 1385,26666666667
8500 1599,73333333333
9200 1764,8
9900 2290,33333333333
10600 2258,33333333333
11300 2500,13333333333
12000 2689,26666666667
12700 2820,53333333333
13400 2541,86666666667
14100 2748,06666666667
14800 2751,06666666667
15500 3097,66666666667
16200 3152,93333333333
16900 3460,33333333333
17600 3611,33333333333
18300 3778,6
19000 4048,4
