100 10,9333333333333
800 116,933333333333
1500 221,666666666667
2200 325,266666666667
2900 492,4
3600 524
4300 671,8
5000 832,733333333333
5700 879,466666666667
6400 1017,06666666667
7100 1241,6
7800 1241,93333333333
8500 1405,33333333333
9200 1523,53333333333
9900 1665,8
10600 1781,8
11300 1973,26666666667
12000 2020,26666666667
12700 2216,53333333333
13400 2278,2
14100 2455,93333333333
14800 2633,46666666667
15500 2717,8
16200 2869,33333333333
16900 3147,26666666667
17600 3163,6
18300 3301,06666666667
19000 3416,53333333333
